solidity,solc,contract
0x5B869fc9B9C23751a23F5e70039E3E85a75d25e7.sol,0.5.0,Oobit
0x975769557510167d25beed6e32806537173e292c.sol,0.5.0,SafeMath
0x7acBE5d1d45A6494828bdEB7bF0a3116353efaD6.sol,0.5.12,RecipientWhitelistPoolToken
0x958d960a34d4b49733dbf115388d6222097cfdd9.sol,0.4.24,SDN
0x16ded60111a2888d115112f0b8ae8561b9f168b5.sol,0.5.0,EthercentToken
0x165440036ce972c5f8ebef667086707e48b2623e.sol,0.6.0,Graph
0x38113d11262444c6bc6713fc68687b82e99d0764.sol,0.6.9,HYDRAStaking
0x9d522b16031bb2b009c504ec9eff203c8d890eef.sol,0.5.9,EtherWin
0xa0fee6407a1508b625bfd350870b3cdfee398850.sol,0.5.2,FDT_ERC20Extension_MULTI_Factory
0x13c1542a468319688b89e323fe9a3be3a90ebb27.sol,0.5.0,StakingRewards
0x9cc6754d16b98a32ec9137df6453ba84597b9965.sol,0.5.0,Token
0x2e652083b5ad5947a4fcad0786e989d83363b5f4.sol,0.5.17,MinionSummoner
0x5a3b8896d90bf4e656d35370d6b2ab9613a854d1.sol,0.4.24,ORA
0x03bd5b5593a9aa3fe02471903df51e4d611dcaf1.sol,0.5.0,ERC20Swap
0x95a6a3f44a70172e7d50a9e28c85dfd712756b8c.sol,0.4.25,SynthSummaryUtil
0xa45cb1bbb00cd9c28435c58df11c6a3f08f36302.sol,0.6.6,AccessControlledAggregator
0x540834aa7a6f445b9cd960dd52ea41d382898538.sol,0.4.24,Pets
0xa90c43e0d6c92b8e6171a829beb38be28a0ad073.sol,0.5.0,EGORAS
0x0efbee61adbc1fcbb483e11440710db4b4e6902b.sol,0.4.18,TokenMultiSearch
0x07F81230d73a78f63F0c2A3403AD281b067d28F8.sol,0.6.0,ConnectCompound
0x23d67f977bfb4038f6cd0f460ab5913218e34c21.sol,0.5.8,Goodluck
0x9943b6ab8d6ede28d8b8fc5c69243441d7a5c48b.sol,0.6.0,Graph3
0x8f5e2dea54333af9788e9117dddbcbe6bae445f1.sol,0.4.18,STUSD
0x800ecA21614dA02Df076981Bca9c664dBE19089A.sol,0.6.1,ActionsGateway
0x9f07d388344fd87538df8c894c0b942165ecf240.sol,0.4.24,BITCOINFAR
0x68f7d322b3a14984d95082e35a3bab0842acaa3d.sol,0.5.2,Blacklist
0x924a99087196f4b23e312ae6110218e54e0dbb51.sol,0.5.11,BullRun
0x2943e810c2d14a084ed9ab44e0d239f923c7cd27.sol,0.5.12,CheezyExchange
0x2918eef1e0fac9796347527d8f4a9be8538fd675.sol,0.4.19,JUSToken
0x71a6ad75809987807bc3d9ab37059d7c37837607.sol,0.5.0,COMPfarming
0xa56b8a9064766dba576c9e05e0a23d9c09c17f85.sol,0.4.26,Trader
0x7eb6e1f8c3c9da996728f78f6abe3b200b1e77e2.sol,0.5.0,Eth2DaiWrapper
0x76416a4d5190d071bfed309861527431304aa14f.sol,0.5.12,OsmMom
0x5f58058c0ec971492166763c8c22632b583f667f.sol,0.4.26,BancorNetwork
0xa3e9f6743ad886ac3d1b26d8cbcb169ed9c01b64.sol,0.4.20,ERC20Token
0xac02030d8a8f49ed04b2f52c394d3f901a10f8a9.sol,0.6.0,ConnectMaker
0x2f6f7a8657121991e0b0eac3f563ebfd9e2e8800.sol,0.5.15,ERC20Token
0x577e95d7bfd0cbabad15b663ef818a44f1aa1fcd.sol,0.4.26,MT5Bitcoin
0x4ab524df43bec3cb130024c5196db0915c61f40c.sol,0.5.0,InflationToken
0x593bB4C2c7f04A65BBB008bf4a940b751B47FF50.sol,0.5.0,ALGOLAB
0x8ecff12e848c804526ce917343ebfa92c572309c.sol,0.4.23,CoinDgpt
0x5a95527ed7616d35fb2a113cd68832f4edefa2df.sol,0.4.24,AllWensCoin
0x8478952d8412dce7aaf06e751d28c6a05d91bd28.sol,0.5.14,ProxyQuery
0x54c6dfbb807be694841a0f1b84cbc49d8fc98ed7.sol,0.4.24,ForeignAMB
0xaa58f29dc4228309fe1e2b17b9cfab51b7fc39b2.sol,0.4.24,WQB
0x0fe9f4baec06f1c287f7f6c5f7e65a66c135b809.sol,0.5.0,Staking
0x2a22012d6Eb68f9470053ae71FF4B2D1594A7692.sol,0.6.3,SafeMath
0xae3aeb3ba06790bc2190b38cc968de8ef6356ee7.sol,0.4.23,Globaltradepaymentchain
0x0e605600f9b4b6762498c941fee0b32976cb5e9b.sol,0.5.1,EUROSTABLECOIN
0x0ccf221b86b941fc92a39e35ac146e3effea07b5.sol,0.5.11,DharmaSmartWalletImplementationV4
0x39731Cb7727250bc42b7b72055934e8b3eeAc3b4.sol,0.6.3,SafeMath
0x83e1c295a5842ec1254ca4ad278047eeba3ee2ea.sol,0.5.0,HEXAutomator
0x48db4a6838ecda59a355fa831a4bbbd5fea4aea2.sol,0.5.7,CompImport
0x486f9805f082e77a094a17a830cdf2ede00cef0e.sol,0.5.11,SetUserSigningKeyActionIDHelper
0x28c3F1aF94D91C02282B4eda131C4Cf0bAd6aE77.sol,0.5.2,MaiProtocol
0x2d66427c0614b703efaa3da4efd97fe05de11bf3.sol,0.6.5,PieDAOPieTokenAdapter
0x4f1e3d5ba6cf6d3b3b82eb270fd1642bdaafcabf.sol,0.5.0,StableAMM
0x30536f575f91e6845c16ffb8cb19e0d995d916ad.sol,0.5.12,QCAD
0x6bc2a5d1837cbd69943d1c3d4c728b6544e3a46d.sol,0.5.1,MultiSendContract
0x3d10d0907acd2fbbdc1abba4cd714b3a40196011.sol,0.4.24,CoinJanitor
0xa44181716d7910d3cecd02a5cdd5920f0884980b.sol,0.5.0,AIT
0x76464327a9d1c84a9d98cc4ba1f8159fe0dcb264.sol,0.5.11,PartnerRegistry
0x0f13c2946b4ee4e185ac0d5fdd4335295d0b08d7.sol,0.5.17,StrategyDForceUSDC
0xac8491258d2d93228e8b49aac2e332a96f04e56c.sol,0.5.10,_0x
0x9c42083a02903624c4d16616468ac1f0e1589520.sol,0.4.18,WrapConversionRate
0x98bfe90ccd9d627f882e40bab73b9a9f923639a4.sol,0.4.24,HCMT
0x460DE59c7768e7ff17939F01Cb84F965c4E88266.sol,0.6.6,AccessControlledAggregator
0x1a0e3f71e3b9544212d717fd0a9008b7a9d5f30f.sol,0.5.12,Pot
0x5B1f69304651b3e7a9789D27e84f1F7336c356e8.sol,0.4.24,Redemptions
0x73a1eBCE4d99125ff228e246687F8a504bBbc562.sol,0.5.0,TICKTOCKTOKEN
0x9c5c6a8c368e948f63bff3d132492efa01f7ff96.sol,0.4.18,nDEXProtocolToken
0x90f5bd542eb63bbf78ee414b5c1bf707a67cfe31.sol,0.4.23,ATOmu
0x10633216e7e8281e33c86f02bf8e565a635d9770.sol,0.5.9,Dvision
0x43cee9cc1d66338ee7adc2b786a46ffa2b2fdb3e.sol,0.6.0,ConnectBasic
0x99bcd209b97d31f363afe65cc46dd47ed7bb2c4a.sol,0.4.26,CPEXToken
0x487C3DBBEE2f67Dc8C6eB06Cee6f0Cc2501c58C7.sol,0.5.0,TokenMintERC20Token
0x143bc913c564ccf8be0e312a11ec0374005d0544.sol,0.5.14,ETHDropFactory
0x690b1c17a17e6ff1dea3332667b2dc89561c9e8f.sol,0.5.8,ZINC
0x9d52fd110a3405f7475a4d7e90b83cc4f1a51c4a.sol,0.5.0,ERC20
0x0be2ea1062e62632edb47772b8970ada04acd387.sol,0.4.24,FairWin
0x9f7e69cdb61ef377913fc8d664c142018d9fce17.sol,0.6.7,LinenWalletActions
0x06741096ef84fd751b0805a96583123b5cb11540.sol,0.4.25,Recipient
0x3767f8302d97abd6ffdc9283ff1dbf703264f8fc.sol,0.5.17,StrategyCurveYCRVVoter
0x7b2721ca31a42399054e3287a14a44ea06169f6b.sol,0.5.8,InstaDydx
0xa7a5c1058194af8f00c187adb7fcc0c95f1c6c2d.sol,0.6.11,SpaceiZToken
0x8e40da34e9280e2df64fadf38d154208af3ab618.sol,0.4.25,SafeMath
0x35ed7969327334d8eef6ac16a61af2769b02f8eb.sol,0.4.18,ConversionRateEnhancedSteps
0x5092b94f61b1aa54969c67b58695a6fb15d70645.sol,0.5.8,McdResolver
0x6463099be4eadeefbc896b7f4b4cab5301ffdb97.sol,0.4.19,XFINToken
0x3541cd8ef60f141f32c2de592ceb8873b41bebd0.sol,0.6.0,Charity
0x0ca0d1d286bcd99d8c48b3ac71269b793b45dab3.sol,0.4.18,AQUA
0x497559ddecd57028990d6df58eff962b493829d8.sol,0.6.4,NameFilter
0x808b1bc9e8fdcd05fa2427b92173395bb8992c62.sol,0.5.11,DssProxyActions
0x6b785a0322126826d8226d77e173d75dafb84d11.sol,0.6.2,SafeMath
0x70e9f0d488a3042dd202836f68f8e59c660df1a6.sol,0.4.26,TokenERC20
0x1992b427df3ee6c679bc7d977cbb14432c583fef.sol,0.4.24,ILOVESYS
0x6Eaad572e6CbA35bc61102dC2973c48A8D7F07dE.sol,0.6.0,InstaAaveResolver
0x884ddbb5dc6c2cef77d3e74c6ccca315797d655b.sol,0.4.23,MainToken
0x1f95b433f627708d397e789acfead858ce001b48.sol,0.4.26,Trader
0x376435eef01eb51730f2f4e8f9c425b6912fa575.sol,0.4.23,CHE
0x7CD232014C63d218d67E06C9CC56205098a4D54c.sol,0.6.0,InstaAaveResolver
0x62d85f7a5e5e53451d5decca6cd8fda3c6d9380e.sol,0.4.25,Ethprofitspace
0x3c6f272827a54b810ea0874b995e7adb40b6a2b7.sol,0.4.25,Token
0x234b4bf79806dd553c60205ca77047dbd9e847ef.sol,0.5.0,LoanMover
0x1563901f2e20195a481d8b5db49c71a6a65610fa.sol,0.5.17,StrategyCompoundBasic
0x0b7f3582bdA7275B10E2c39f494b1De78Bc002e6.sol,0.5.17,ProxyERC20
0x06a8fee7a607c5c887f5f0672f7d8849583ddcc1.sol,0.6.10,iCollateralVaultProxy
0x10bFdCc77E998Eb849a18c79b880F8b9BE06Ad83.sol,0.5.16,ContractRegistry
0x09af99b655e39b0469782af86502694a1fbcf2be.sol,0.4.24,OxHKDToken
0x667613aefd95591af5c3145974f0f7d3bf8767fb.sol,0.4.24,SmartFundRegistry
0x17e6bd94778A6a509D62507DF37D60d1B23E225d.sol,0.4.24,TokenBalanceOracle
0x5863a4c7ae18c6ab186fd0a57f61cfcad27fc61c.sol,0.6.0,ConnectDydx
0x46db11d5f887fa2c8e2466ff5a1c5dcb84bd6451.sol,0.5.0,CompoundLoanInfo
0x911a158850e34e5ffaa2431a28a159db5730e67a.sol,0.4.25,ContractDeployer
0x74F922bA5555f43e8897b2884f7169f6f58E5E75.sol,0.6.12,Rebased
0xb0013da284460ed81bfa4d1e3a83a29c2e15f6c7.sol,0.4.24,TokenManager
0x9b393a12fb9dffd4a49fe5a27d88893a230ce853.sol,0.4.24,Factory
0x5652fb0e62f6ddb958cac8ff48b62c9c8f96701a.sol,0.5.14,LAOtokenFactory
0x1a77f3c831af5c109f7269e4de735efd2c915aa6.sol,0.4.24,beetMaxToken
0x8bd61eec0319c2c6ab364bf7a8a5079be225f343.sol,0.5.0,ERC20
0x7f1cd65679d73eb98fcebe8b61c13d3d68605717.sol,0.5.0,MultiPoolZapV1_4
0x565338b113D5A0f744669BC13c0f30f87A6A92d4.sol,0.4.25,DonsCoin
0x893b52e96f3230abd23fbe48ee408b7a1a4b7e30.sol,0.5.1,EthGame
