solidity,solc,contract
0x913539beff046bcca708f6f61bc01d284c10a51e.sol,0.5.11,InstaMcdGive
0x8e5f3abc36da63142275202454c11237f47dd170.sol,0.5.12,DssFebruary7Spell
0x4607cde2730cd1389c665d02f5a7b09e680f9bdb.sol,0.6.7,EthPro
0xa6db1c7becba1af1dbaf92e68192fc0b474320e1.sol,0.5.17,RiskOracle
0x286b49aA866d6161DAACB85E119b1337E63824b3.sol,0.6.0,InstaAccount
0x8478952d8412dce7aaf06e751d28c6a05d91bd28.sol,0.5.14,ProxyQuery
0x3dd0cdf5ffa28c6847b4b276e2fd256046a44bb7.sol,0.5.0,CompoundLogger
0x5c1209acd4fae170eea93c830a0cb74bc5f9ef2b.sol,0.6.0,CojamToken
0x5951614bb6d8ccbe9c25a59bd85ae5f3eab06235.sol,0.4.18,Ulink
0x6548b06acbc1b7674a8a5a2ea6787ed54ef6d438.sol,0.6.8,PerlinXRewards
0x9047237b16c918d94Db3d1a9a86d7A2A605CdFE7.sol,0.6.8,LionShare
0x4bd22737812e4412879aacf0b400131e1ee0a4a5.sol,0.4.24,Controller
0x387424d6647135d4da317bc89302a828f0ac0cad.sol,0.4.26,flashIt
0x2a22012d6Eb68f9470053ae71FF4B2D1594A7692.sol,0.6.3,SafeMath
0x08cc5a88ce4a0d047ba21c523240c2b8d1ac4474.sol,0.5.17,TokensViewV3
0x08cb672f09079926727a2365384a916b5a605e36.sol,0.4.26,Trader
0x2e765da7107f84d9b071bba7d3894670137f7263.sol,0.6.8,SVToken
0x6A2f3068734a9b2272A644CE2e701588f9a28B83.sol,0.4.24,TPRToken
0x7149d21e781a891df0dd29d2abcd95380122ba45.sol,0.4.24,CYP
0x72aa58a6bc3efc77cc8fe89b73bad27b468910e9.sol,0.5.0,HelixNebula
0x693aa8ead81d2f88a45e870fa7e25f84ca93ca4d.sol,0.5.0,UnderlyingTokenValuatorImplV2
0xa7902bc8c455a4d6ea77ebf784cc230818e6b3e0.sol,0.4.26,Trader
0x08a07bbeaa4677cf74927b98dd09fbc8f4f3f80f.sol,0.5.17,StrategyCompoundBasic
0x5712a71287b8096Aad806059b0F0e5e31Fb575D1.sol,0.6.1,ThaiBahtDigitalToken
0xb07f5e43ec06c81758ea9e4f2bf0d9b4a98110d0.sol,0.4.26,Cloud
0x47bef29a73f5af37ed666f9bda9aae1c554fc163.sol,0.4.24,PLAT
0x53fcc9072d7e856273349900b1474176b0a0b0e1.sol,0.4.26,GetPrices
0x5f58058c0ec971492166763c8c22632b583f667f.sol,0.4.26,BancorNetwork
0x449c5c00ba3d28c9bed71c9022a1c227105f46ea.sol,0.4.26,EBitcoin
0x44A0Ad6e696820fA192a3dcf37d0cC55a45cBc38.sol,0.5.12,Cat
0x25c7b64a93eb1261e130ec21a3e9918caa38b611.sol,0.5.8,WrappedVG0
0x68914f24aa57e7269f587a105fc2a9ebb994ab8f.sol,0.5.12,TurnCoinERC20SecurityToken
0x1e8cd1222d2d4bb34f0b3b0afcc978b825b65139.sol,0.5.13,TOTAL
0x8b847669b2e5dd5101736e41da8ec38653065aeb.sol,0.5.0,Huptex_BurnV1_0_1
0x99d7159b0a2f0f65ea7551ce560db24c19875a8b.sol,0.5.1,horizex
0x43c3983778ec88f0c383134e812c0c58a819add0.sol,0.5.16,TokenSoftToken
0x6c2b384401f5ac765bfe6d128d785480f0ff2e71.sol,0.5.11,DharmaDeploymentHelper
0x59f312d142d985b21f438477b24c38aff27cd915.sol,0.5.12,ExchangerToken
0x5422d42cb75d28f7000e65e034de2737f0b3a651.sol,0.5.10,TokenFaucet
0x076c5c977938839914dbceae1643858721ba020b.sol,0.5.13,BlagaDaru
0x816ca379ca59661f41d8ce8d03ac79f91449640a.sol,0.5.0,SurveyResultValidator
0x572d03fd45e85d5ca0bcd3679c99000d23a6b8f1.sol,0.5.2,BountyPayout
0x2943e810c2d14a084ed9ab44e0d239f923c7cd27.sol,0.5.12,CheezyExchange
0x73386e25f5bbd74b43fa4429487d834725e3cd7f.sol,0.5.12,ETHERAUK
0x4c6584ddcdfab7110c7b1be47749bde8edc9c0c9.sol,0.4.20,ERC20Token
0x0ff619128a6661a4d766cdd853fb3c3657940081.sol,0.5.11,DssProxyActionsLiq
0x261cacc129fefbff9bff0a4d8e962a0a49a72bdc.sol,0.5.12,DssSpell
0x64cb197240876c32e68d2d17b405b7bf92ed523f.sol,0.4.24,UFragments
0x851be0d936cb611d2cab3c3963338288445c1e52.sol,0.5.10,Zhey_ERC20
0x1dfb7700e67e6046898c2fefe160fb53fec3a27c.sol,0.5.13,OwnedUpgradeabilityProxy
0x47f0622de95ed6fc707ee8eecb967d79d84ce344.sol,0.5.8,CourtPresaleActivate
0x40c3f4c4189c04708e8c22659a16ebafc22218e7.sol,0.5.3,GekkoinEURToken
0x82B91DFe95f94B5FF74f3BD628E2B06E20256Efc.sol,0.4.24,ELE
0x804E26C4EFf0BB196b805bDFb5B29AB828cF0B1f.sol,0.4.24,WhaleCoin
0x101dd6f1f5e396f6ab87407df637cce814e24a9f.sol,0.5.17,TendiesFarm
0x362618d8f3df95686acb46d2f2da91d53bed4e04.sol,0.6.2,DefaultCompliance
0x6Fe92A032F76Dd6F1947ABC43214DC2cFFE722Cf.sol,0.6.4,Token
0x3db63566fc2d0d5585b7a78bfc0242aefe184ed8.sol,0.5.14,cTokenKyberBridge
0x8bD3feF1abb94E6587fCC2C5Cb0931099D0893A0.sol,0.6.6,AccessControlledAggregator
0x3de7479924a5c77be0ebc583496f2677fe7bb450.sol,0.5.0,HBDVAuction
0x6c5f9d1d115862ca99253e5738590f6d31ca35a0.sol,0.5.0,iDAI
0xb2e6e3d9af235434385c28bd31d98041a48226a6.sol,0.5.12,RecipientWhitelistPoolToken
0x80dDB6404e022fe98961d6CCaf401077DB920824.sol,0.5.16,FlashTokenFactory
0x3dfa84cf5856e01bc4e12355caf7a61738509f53.sol,0.5.0,CompoundMonitorProxy
0x861a2250fcdbe57041289623561d5d79585df5dc.sol,0.6.0,ConnectCurveY
0x1df51de914617a7e4caba90b9101363a189dbbe3.sol,0.4.18,ConversionRateEnhancedSteps
0xa4da9e58ccaff6eba52e81a65b069ac5e77d7e4e.sol,0.4.18,DeBet
0x55177f90e2c0b699aa00f03043e625f36e27275e.sol,0.4.24,ElrondGold
0x533c1de05c9fd2a375ff8416584bdb21c92031e5.sol,0.5.0,DipperNetworkToken
0x386f6f20bc8f3ff753fe6b731fd93ff8a0ba18e4.sol,0.5.0,AaveLiquidate
0x7fbdd39b5ad7bbfe014135b8ba64e0f1e4eea040.sol,0.6.0,Zeropool
0x6384e3cbdf165250b191cac2fd8ffe3b718d34f4.sol,0.4.24,ExorionToken
0x23ca306C621a9D6F3CADe4fa05A4b702dFEAFDF2.sol,0.5.12,RecipientWhitelistPoolToken
0x5770edd5099b570f0fc4ca37949171b3137a186b.sol,0.5.11,DharmaTransferFacilitatorV2
0x2d8d5f7ddd4173cc8874a507418d055fce85a878.sol,0.4.26,Trader
0x77208a6000691e440026bed1b178ef4661d37426.sol,0.5.7,TotlePrimary
0x3E3dc42535c242844d8bff33f270A540140e4a0d.sol,0.4.18,BTCE
0x31bc11da5460e8ca665e5a881bee6fb4833a8e3d.sol,0.5.0,TribeProducts
0x65b50eE078c4b9643d8E75647B6629b74622D148.sol,0.4.25,MOTC
0xa6997af40f2f87125ba490e0c539dc7bd37381bd.sol,0.5.11,RipgaleToken
0xa117ea1c0c85cef648df2b6f40e50bb5475c228d.sol,0.5.0,DUCATOProtocolToken
0xb0ee877305613ebc98fedaed2788a9a6168cdc87.sol,0.5.14,lexTokenFactory
0xa72e909fa123b3d0ed1f8b4607440ff1f2c87030.sol,0.4.24,DncToken
0xb0399c2fb7958d8d0fde93ec58c4efa1ba501375.sol,0.4.24,FiatTokenV1
0xaaccaab0e85b1efcecdba88f4399fa6cab402349.sol,0.5.0,AKAP
0x963F86DA34Cf2CE619d4B8e5cE96577943f95B6b.sol,0.5.4,MakerManager
0x851F61280295837588373fFdc3d3315Ac085119f.sol,0.5.12,Vat
0x579f925b259c7ad94a2fb5d334ccf41b9a6abb66.sol,0.6.0,DerivativeFinanceTokenV0
0x37012fbb2bd317e60a9b1b78eb032e1cbc681990.sol,0.5.0,CompoundFlashLoanTaker
0x79918A4389A437906538E0bbf39918BfA4F7690e.sol,0.4.24,ProxyAdmin
0x4fcfce2cddd8114f5ddff23f8869337197b27e1f.sol,0.5.0,Torum
0x06061dc51270e7fea229e17fd17af5ecf822b23d.sol,0.4.23,AuraToken
0x3f19befe54e45467192de0edf5502b042934825e.sol,0.4.24,CrunchToken
0xb494985141cdbc0b7af274a716038bc26c4eb184.sol,0.5.10,Funds
0x3df26c13ada80234ff374bbf9e6080fa9d843227.sol,0.4.24,IRT
0x45ad2ecc645bea6f317825b339341b518954994d.sol,0.5.0,ERC20Distributor
